Number,GROWTH,MUTLIPLIER_F,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
11,2,0.95,4,0.824255,5,0.707965,4.208573394,16,0.85167,17,0.728667,16.42007106,12,12.21149766
12,2,0.95,3,0.919836,4,0.794677,3.957470098,16,0.851555,17,0.72591,16.41032273,13,12.45285264
13,2,0.95,4,0.870351,5,0.721689,4.473227859,16,0.825726,17,0.71899,16.24102458,12,11.76779672
14,2,0.95,4,0.82451,5,0.678019,4.167314033,15,0.911184,16,0.793651,15.94598113,11,11.7786671
15,2,0.95,4,0.820697,5,0.670795,4.138070206,15,0.882634,16,0.766208,15.70975555,11,11.57168535
16,2,0.95,3,0.916415,4,0.791833,3.934444783,15,0.878338,16,0.789474,15.88154933,12,11.94710455
17,2,0.95,4,0.814935,5,0.694013,4.12350937,15,0.85826,16,0.753937,15.55845787,11,11.4349485
18,2,0.95,4,0.828304,5,0.715447,4.250795254,15,0.819348,16,0.663202,15.12390967,11,10.87311442
19,2,0.95,4,0.866876,5,0.751328,4.578772458,16,0.865157,17,0.766444,16.66006504,12,12.08129258
0,2,1,3,0.895,4,0.787908,3.887087738,15,0.873213,16,0.77547,15.74903574,12,11.861948
1,2,1,3,0.892391,4,0.772,3.767424475,15,0.821086,16,0.640124,15.1165217,12,11.34909723
2,2,1,4,0.803015,5,0.649554,4.019646685,16,0.80137,17,0.685801,16.01185439,12,11.9922077
3,2,1,4,0.835468,5,0.726555,4.325654421,15,0.86421,16,0.710577,15.41794406,11,11.09228964
4,2,1,3,0.923771,4,0.788481,3.914856974,15,0.83502,16,0.658242,15.19810157,12,11.2832446
5,2,1,4,0.803141,5,0.684749,4.026530509,16,0.848684,17,0.699601,16.32655635,12,12.30002584
6,2,1,3,0.893744,4,0.757543,3.688276885,13,0.904667,14,0.798793,13.98859966,10,10.30032277
7,2,1,4,0.845624,5,0.671246,4.261638509,15,0.8577,16,0.698351,15.36209829,11,11.10045978
8,2,1,3,0.886735,4,0.763343,3.702922394,14,0.836816,15,0.694444,14.25859017,11,10.55566778
9,2,1,3,0.905325,4,0.786378,3.885478406,14,0.873033,15,0.741901,14.55694262,11,10.67146422
10,2,1,4,0.837526,5,0.690619,4.255440517,15,0.891509,16,0.737192,15.59299364,11,11.33755313
11,2,1,4,0.80804,5,0.652997,4.051856582,15,0.886179,16,0.791277,15.90808413,11,11.85622755
12,2,1,4,0.817518,5,0.660643,4.111668526,16,0.833333,17,0.703905,16.25754087,12,12.14587235
13,2,1,4,0.887033,5,0.768116,4.731880219,16,0.889756,17,0.759878,16.69107932,12,11.9591991
14,2,1,3,0.908275,4,0.799589,3.996218464,15,0.812766,16,0.667031,15.08759735,12,11.09137889
15,2,1,4,0.801706,5,0.678279,4.013821935,16,0.829939,17,0.716751,16.26450684,12,12.2506849
16,2,1,3,0.914826,4,0.788,3.905382177,14,0.89064,15,0.790909,14.90884479,11,11.00346262
17,2,1,4,0.834783,5,0.69615,4.250899858,15,0.8891,16,0.754736,15.66312405,11,11.41222419
18,2,1,4,0.829091,5,0.698079,4.222048362,15,0.828373,16,0.665039,15.17371154,11,10.95166317
19,2,1,3,0.920666,4,0.790548,3.927358244,15,0.892204,16,0.750518,15.65076295,12,11.72340471
0,2.5,0.5,5,0.851485,6,0.752701,5.521187642,18,0.859865,19,0.778443,18.73524355,13,13.2140559
1,2.5,0.5,5,0.869369,6,0.764833,5.663589577,19,0.811404,20,0.707524,19.10978052,14,13.44619094
2,2.5,0.5,4,0.875642,5,0.772321,4.732106735,20,0.860973,21,0.797056,20.95394027,16,16.22183353
3,2.5,0.5,6,0.812022,7,0.7411,6.169510166,21,0.806452,22,0.721212,21.07569216,15,14.906182
4,2.5,0.5,4,0.896781,5,0.796907,4.969030979,21,0.837104,22,0.77684,21.61569096,17,16.64665998
5,2.5,0.5,5,0.858276,6,0.790672,5.862019999,20,0.842165,21,0.718788,20.34175738,15,14.47973738
6,2.5,0.5,5,0.879659,6,0.785558,5.846526604,20,0.822826,21,0.699519,20.1851152,15,14.3385886
7,2.5,0.5,4,0.868035,5,0.787657,4.84643808,17,0.860825,18,0.767442,17.65134982,13,12.80491174
8,2.5,0.5,5,0.84655,6,0.769639,5.605245023,23,0.815636,24,0.675152,23.11130093,18,17.50605591
9,2.5,0.5,5,0.827093,6,0.714631,5.24090804,18,0.873587,19,0.797539,18.96763886,13,13.72673082
10,2.5,0.5,6,0.806311,7,0.721973,6.074829851,19,0.826134,20,0.766954,19.44160189,13,13.36677204
11,2.5,0.5,5,0.821586,6,0.728248,5.231267008,19,0.854077,20,0.798246,19.96858376,14,14.73731675
